# This Data Feed provides certain approximate geofeed data from a subset
# of Meta sources. The data included in this Data Feed may be used only
# for content delivery network services to improve service and
# performance for the benefit of Meta users. Additionally, your access
# and use of this Data Feed must comply with all applicable laws, rules,
# and regulations. You may not access or use this Data Feed if you are
# prohibited from receiving products, services, or software under
# applicable law. Meta reserves all rights not expressly granted to you.
# Meta may change, withdraw, terminate availability to, testing of
# and/or use of, or discontinue the Data Feed (or any portion thereof)
# at any time and in our sole discretion, with or without notice to you.
# 
# THE DATA FEED IS PROVIDED “AS IS” AND “AS AVAILABLE”. META MAKES NO
# GUARANTEES THAT THE DATA FEED WILL BE ERROR-FREE. TO THE EXTENT
# PERMITTED BY LAW, META DISCLAIMS ALL WARRANTIES, WHETHER EXPRESS OR
# IMPLIED, INCLUDING THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS
# FOR A PARTICULAR PURPOSE, TITLE, AND NON-INFRINGEMENT.
# 
# META’S LIABILITY IS LIMITED TO THE FULLEST EXTENT PERMITTED BY
# APPLICABLE LAW, AND UNDER NO CIRCUMSTANCE WILL META OR ITS AFFILIATES
# BE LIABLE FOR ANY LOST PROFITS, REVENUES, INFORMATION, OR DATA, OR
# CONSEQUENTIAL, SPECIAL, INDIRECT, EXEMPLARY, PUNITIVE, OR INCIDENTAL
# DAMAGES ARISING OUT OF OR RELATED TO THE DATA FEED, EVEN IF META HAS
# BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. META’S AGGREGATE
# LIABILITY ARISING OUT OF OR RELATING TO THE DATA FEED WILL NOT EXCEED
# $100. THESE LIMITATIONS WILL APPLY NOTWITHSTANDING THE FAILURE OF THE
# ESSENTIAL PURPOSE OF ANY REMEDY.
# 
# Meta reserves the right to amend these Terms at any time. Your
# continued use of or access to the Data Feed after any such amendment
# will constitute your binding agreement to these terms as amended. If
# Meta fails to enforce any of these Terms, it will not be considered a
# waiver.
# 
# These Terms will be governed and construed under the laws of the State
# of California without regard to conflicts of law provisions. Any suit
# or proceeding arising out of or relating to these terms will be
# brought in the federal and/or state courts, as applicable, in San
# Mateo County, California, and each party irrevocably submits to the
# jurisdiction and venue of such courts.
# 
# Publication date: Fri Oct 17 2025
2a03:2880:f32a::/48,US,US-CA,Santa Clara,
57.144.106.0/23,US,US-CA,Santa clara,
2a03:2880:f32c::/48,US,US-CA,Santa clara,
57.144.128.0/23,BR,BR-CE,Fortaleza,
2a03:2880:f340::/48,BR,BR-CE,Fortaleza,
57.144.164.0/23,BR,BR-CE,Fortaleza,
2a03:2880:f352::/48,BR,BR-CE,Fortaleza,
57.144.248.0/23,DE,DE-HE,Frankfurt,
2a03:2880:f37c::/48,DE,DE-HE,Frankfurt,
157.240.0.0/24,DE,DE-HE,Frankfurt,
2a03:2880:f084::/48,DE,DE-HE,Frankfurt,
2a03:2880:f177::/48,DE,DE-HE,Frankfurt,
2a03:2880:f277::/48,DE,DE-HE,Frankfurt,
57.144.244.0/23,DE,DE-HE,Frankfurt,
2a03:2880:f37a::/48,DE,DE-HE,Frankfurt,
157.240.253.0/24,DE,DE-HE,Frankfurt,
2a03:2880:f083::/48,DE,DE-HE,Frankfurt,
2a03:2880:f176::/48,DE,DE-HE,Frankfurt,
2a03:2880:f276::/48,DE,DE-HE,Frankfurt,
57.141.8.0/24,DE,DE-HE,Frankfurt,
57.141.9.0/24,DE,DE-HE,Frankfurt,
2a03:2880:f809::/48,DE,DE-HE,Frankfurt,
2a03:2880:f808::/48,DE,DE-HE,Frankfurt,
173.252.127.0/24,US,US-NC,Forest City,
2a03:2880:21ff::/48,US,US-NC,Forest City,
173.252.87.0/24,US,US-TX,Fort Worth,
2a03:2880:11ff::/48,US,US-TX,Fort Worth,
69.171.238.0/24,US,US-AZ,Goodyear,
2a03:2880:56ff::/48,US,US-AZ,Goodyear,
31.13.90.0/24,BR,BR-RJ,Rio de Janeiro,
2a03:2880:f091::/48,BR,BR-RJ,Rio de Janeiro,
2a03:2880:f17c::/48,BR,BR-RJ,Rio de Janeiro,
2a03:2880:f27c::/48,BR,BR-RJ,Rio de Janeiro,
31.13.91.0/24,BR,BR-RJ,Rio de Janeiro,
31.13.76.0/24,KR,,Seongnam,
2a03:2880:f04a::/48,KR,,Seongnam,
2a03:2880:f14a::/48,KR,,Seongnam,
2a03:2880:f24a::/48,KR,,Seongnam,
157.240.222.0/24,BR,BR-SP,BARUERI,
2a03:2880:f148::/48,BR,BR-SP,BARUERI,
2a03:2880:f048::/48,BR,BR-SP,BARUERI,
2a03:2880:f248::/48,BR,BR-SP,BARUERI,
157.240.226.0/24,BR,BR-SP,BARUERI,
31.13.85.0/24,BR,BR-SP,BARUERI,
2a03:2880:f005::/48,BR,BR-SP,BARUERI,
2a03:2880:f105::/48,BR,BR-SP,BARUERI,
2a03:2880:f205::/48,BR,BR-SP,BARUERI,
157.240.12.0/24,BR,BR-SP,BARUERI,
173.252.70.0/24,US,US-TN,Gallatin,
2a03:2880:16ff::/48,US,US-TN,Gallatin,
157.240.233.0/24,GT,,Guatemala,
2a03:2880:f16a::/48,GT,,Guatemala,
2a03:2880:f070::/48,GT,,Guatemala,
2a03:2880:f26a::/48,GT,,Guatemala,
157.240.210.0/24,DE,DE-HH,Hamburg,
2a03:2880:f050::/48,DE,DE-HH,Hamburg,
2a03:2880:f250::/48,DE,DE-HH,Hamburg,
2a03:2880:f150::/48,DE,DE-HH,Hamburg,
102.132.97.0/24,EG,,Alexandria,
2a03:2880:f03b::/48,EG,,Alexandria,
2a03:2880:f13b::/48,EG,,Alexandria,
2a03:2880:f23b::/48,EG,,Alexandria,
102.132.103.0/24,EG,,Alexandria,
157.240.205.0/24,FI,,Helsinki,
2a03:2880:f013::/48,FI,,Helsinki,
2a03:2880:f213::/48,FI,,Helsinki,
2a03:2880:f113::/48,FI,,Helsinki,
69.171.234.0/24,US,US-OR,Hillsboro,
2a03:2880:7ff::/48,US,US-OR,Hillsboro,
163.70.158.0/24,HK,,Chai Wan,
2a03:2880:f01d::/48,HK,,Chai Wan,
2a03:2880:f115::/48,HK,,Chai Wan,
2a03:2880:f215::/48,HK,,Chai Wan,
163.70.159.0/24,HK,,Chai Wan,
157.240.199.0/24,HK,,Chai Wan,
2a03:2880:f15e::/48,HK,,Chai Wan,
2a03:2880:f05e::/48,HK,,Chai Wan,
2a03:2880:f25e::/48,HK,,Chai Wan,
157.240.211.0/24,HK,,Chai Wan,
157.240.24.0/24,US,US-TX,Houston,
2a03:2880:f162::/48,US,US-TX,Houston,
2a03:2880:f065::/48,US,US-TX,Houston,
